Peroxide	B-Method
Value	I-Method
Method	I-Method

1	O
.	O

Weigh	B-Action
0.01	B-Amount
mg	I-Amount
oil	B-Reagent
into	O
test	B-Location
tube	I-Location
and	O
record	B-Action
exact	O
weight	B-Measure-Type
.	O

Solid	B-Reagent
fat	I-Reagent
should	O
be	O
melted	B-Action
first	B-Modifier
.	O

Samples	B-Reagent
with	I-Reagent
high	I-Reagent
PV	I-Reagent
may	O
need	O
to	O
be	O
serially	B-Modifier
diluted	B-Action
in	O
working	B-Reagent
solvent	I-Reagent
.	O

Make	O
sure	O
to	O
record	B-Action
dilution	B-Measure-Type
factor	I-Measure-Type
if	O
so	O
.	O

Up	B-Modifier
to	I-Modifier
0.10	B-Amount
g	I-Amount
can	O
be	O
used	O
for	O
samples	B-Reagent
with	O
very	B-Modifier
low	I-Modifier
PV	B-Measure-Type
.	O

2	O
.	O

Immediately	B-Modifier
add	B-Action
3	B-Amount
mL	I-Amount
working	B-Reagent
solvent	I-Reagent
and	O
vortex	B-Action
to	O
dissolve-make	B-Action
sure	O
it	B-Mention
is	O
fully	B-Modifier
dissolved	I-Modifier
.	O

3	O
.	O

Prepare	B-Action
a	O
blank	B-Location
tube	I-Location
(	O
solvent	B-Reagent
in	O
place	O
of	O
sample	B-Reagent
)	O
.	O

4	O
.	O

Add	B-Action
15	B-Amount
l	I-Amount
ammonium	B-Reagent
thiocyanate	I-Reagent
to	O
all	B-Modifier
tubes	B-Location
,	O
and	O
vortex	B-Action
2-4	B-Time
sec	I-Time
.	O

5	O
.	O

Add	B-Action
15	B-Amount
l	I-Amount
ferrous	B-Reagent
chloride	I-Reagent
to	O
all	B-Modifier
tubes	B-Location
,	O
and	O
vortex	B-Action
2-4	B-Time
sec	I-Time
.	O

6	O
.	O

Let	O
sit	B-Action
at	O
room	B-Temperature
temperature	I-Temperature
20	B-Time
min	I-Time
.	O

Keep	B-Action
out	O
of	O
bright	O
light	O
.	O

7	O
.	O

Read	B-Action
absorbance	B-Measure-Type
on	O
spectrophotometer	B-Device
set	O
to	O
510	B-Generic-Measure
nm	I-Generic-Measure
.	O

8	O
.	O

Determine	B-Action
PV	B-Measure-Type
using	O
the	O
following	O
calculations	O
:	O
a.	O
PV	B-Measure-Type
(	O
meq	O
peroxide	B-Reagent
per	O
kg	B-Amount
sample	B-Reagent
)	O
=	O
(	O
As	O
Ab	O
)	O
x	O
m	O
/	O
(	O
55.84	O
x	O
m0	O
x	O
2	O
)	O
As=	B-Measure-Type
absorbance	I-Measure-Type
of	O
sampleAb=	B-Reagent
absorbance	B-Measure-Type
of	O
blankm	B-Reagent
=	O
slope	B-Measure-Type
of	O
standard	O
curvem0=mass	B-Measure-Type
in	O
grams	B-Reagent
of	O
the	O
sample55.84	B-Reagent
=atomic	B-Measure-Type
weight	I-Measure-Type
of	O
iron	B-Reagent
.	O



