Protocol	B-Method
for	O
SYBR	B-Measure-Type
Counts	I-Measure-Type
of	O
Cyanophages	B-Reagent
and	O
Bacteria	B-Reagent

Make	B-Action
dilutions	B-Reagent
of	O
the	O
sample	B-Reagent
(	I-Reagent
s	I-Reagent
)	I-Reagent
.	O

Record	B-Action
volume	B-Measure-Type
of	O
samples	O
used	O
.	O

Custom	O
has	O
been	O
to	O
use	B-Action
20	B-Amount
l	I-Amount
of	O
phage	B-Reagent
stocks	I-Reagent
or	O
200	B-Amount
l	I-Amount
of	O
cells	B-Reagent
diluted	B-Action
to	O
2	B-Amount
ml	I-Amount
with	O
autoclaved	B-Modifier
seawater	B-Reagent
.	O

If	O
the	O
final	B-Modifier
slides	B-Location
appear	B-Action
too	B-Modifier
sparse	I-Modifier
or	I-Modifier
dense	I-Modifier
then	O
the	O
volume	B-Measure-Type
of	O
sample	B-Reagent
used	O
can	O
be	O
adjusted	B-Action
accordingly	B-Modifier
.	O

Remove	B-Action
the	O
10	B-Concentration
%	I-Concentration
SYBR	B-Reagent
and	O
phenylenediamine	B-Reagent
from	O
the	O
freezer	B-Device
.	O

Keep	B-Action
the	O
stocks	B-Reagent
away	B-Modifier
from	I-Modifier
light	I-Modifier
(	O
such	O
as	O
in	B-Location
a	I-Location
drawer	I-Location
)	O
while	O
they	B-Mention
are	O
thawing	B-Action
.	O

Connect	B-Action
the	O
glass	B-Modifier
flask	B-Location
to	O
the	O
vacuum	B-Device
pump	I-Device
.	O

Attach	B-Action
the	O
filter	B-Device
holder	I-Device
so	B-Modifier
that	I-Modifier
the	I-Modifier
grout	I-Modifier
is	I-Modifier
flat	I-Modifier
and	I-Modifier
level	I-Modifier
with	I-Modifier
the	I-Modifier
table	I-Modifier
.	O

Place	B-Action
a	O
0.8	B-Size
m	I-Size
filter	B-Device
on	B-Location
top	I-Location
of	I-Location
the	I-Location
grout	I-Location
.	O

Make	B-Action
sure	I-Action
it	B-Mention
is	O
completely	B-Modifier
flat	I-Modifier
and	I-Modifier
centered	I-Modifier
,	O
with	O
no	B-Modifier
air	I-Modifier
bubbles	I-Modifier
underneath	I-Modifier
(	O
pre-wetting	B-Action
the	O
grout	B-Reagent
helps	B-Modifier
)	O
.	O

This	O
filter	B-Device
can	O
be	O
used	B-Action
many	B-Modifier
times	I-Modifier
so	I-Modifier
long	I-Modifier
