Transformation	B-Method
of	O
competent	B-Reagent
E.coli	I-Reagent
cells	I-Reagent
with	O
plasmid	B-Reagent
DNA	I-Reagent

Thaw	B-Action
the	O
appropriate	B-Amount
amount	I-Amount
of	O
competent	B-Reagent
cells	I-Reagent
on	O
ice	B-Reagent
.	O

Pre-chill	B-Action
the	O
required	B-Amount
number	I-Amount
of	O
empty	B-Modifier
1.5	B-Amount
ml	I-Amount
microcentrifuge	B-Location
tubes	I-Location
.	O

Pipet	B-Action
100	B-Amount
l	I-Amount
aliquots	B-Reagent
of	O
cells	B-Reagent
into	O
the	O
pre-chilled	B-Modifier
tubes	B-Location
.	O

Add	B-Action
5-10	B-Amount
l	I-Amount
of	O
a	O
ligation	B-Reagent
reaction	I-Reagent
mix	I-Reagent
or	O
5	B-Amount
ng	I-Amount
of	O
pure	B-Reagent
plasmid	I-Reagent
DNA	I-Reagent
to	O
each	B-Amount
tube	B-Location
.	O

Mix	B-Action
gently	B-Modifier
!	O

Incubate	B-Action
the	O
tubes	B-Location
of	O
ice	B-Reagent
for	O
30	B-Time
min	I-Time
.	O

Heat	B-Action
shock	I-Action
the	O
cells	B-Reagent
for	O
45	B-Time
sec	I-Time
at	O
42	B-Temperature
C	I-Temperature
.	O

Place	B-Action
the	O
tubes	B-Location
immediately	B-Modifier
on	O
ice	B-Reagent
for	O
at	O
least	O
2	B-Time
min	I-Time
.	O

Add	B-Action
1000	B-Amount
l	I-Amount
of	O
SOC	B-Reagent
medium	I-Reagent
to	O
each	B-Amount
tube	B-Location
and	O
incubate	B-Action
for	O
1	B-Time
hour	I-Time
at	O
37	B-Temperature
C	I-Temperature
with	O
shaking	B-Action
.	O

Transfer	B-Action
the	O
cultures	B-Reagent
to	O
1.5	B-Amount
ml	I-Amount
microcentrifuge	B-Location
tubes	I-Location
and	O
spin	B-Action
for	O
1	B-Time
min	I-Time
at	O
10000	B-Speed
x	I-Speed
g	I-Speed
.	I-Speed

Remove	B-Action
800	B-Amount
l	I-Amount
of	O
the	O
supernatant	B-Reagent
and	O
resuspend	B-Action
the	O
pellet	B-Reagent
.	O

Plate	B-Action
out	I-Action
the	O
suspension	B-Reagent
on	O
a	O
LB	B-Location
agar	I-Location
plate	I-Location
containing	O
the	O
appropriate	B-Reagent
antibiotic	I-Reagent
.	O

Incubate	B-Action
the	O
plates	B-Location
overnight	B-Time
at	O
37	B-Temperature
C	I-Temperature
.	O



